game_pk,date,away_team,away_score,home_score,home_team,win_team,lose_team,win_score,lose_score,final_score
717413,2023-07-14,Los Angeles Dodgers,6,0,New York Mets,Los Angeles Dodgers,New York Mets,6,0,6-0
717412,2023-07-14,Milwaukee Brewers,1,0,Cincinnati Reds,Milwaukee Brewers,Cincinnati Reds,1,0,1-0
717414,2023-07-14,Chicago White Sox,0,9,Atlanta Braves,Atlanta Braves,Chicago White Sox,9,0,9-0
717419,2023-07-14,Boston Red Sox,8,3,Chicago Cubs,Boston Red Sox,Chicago Cubs,8,3,8-3
717415,2023-07-14,Cleveland Guardians,4,12,Texas Rangers,Texas Rangers,Cleveland Guardians,12,4,12-4
717410,2023-07-14,New York Yankees,2,7,Colorado Rockies,Colorado Rockies,New York Yankees,7,2,7-2
717405,2023-07-14,Houston Astros,7,5,Los Angeles Angels,Houston Astros,Los Angeles Angels,7,5,7-5
717409,2023-07-14,Minnesota Twins,5,4,Oakland Athletics,Minnesota Twins,Oakland Athletics,5,4,5-4
717406,2023-07-14,Detroit Tigers,5,4,Seattle Mariners,Detroit Tigers,Seattle Mariners,5,4,5-4
717408,2023-07-15,San Diego Padres,4,6,Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,6,4,6-4
717397,2023-07-15,San Diego Padres,4,9,Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,9,4,9-4
717411,2023-07-15,Tampa Bay Rays,6,1,Kansas City Royals,Tampa Bay Rays,Kansas City Royals,6,1,6-1
717393,2023-07-15,Tampa Bay Rays,4,2,Kansas City Royals,Tampa Bay Rays,Kansas City Royals,4,2,4-2
717407,2023-07-14,Washington Nationals,7,5,St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,7,5,7-5
717403,2023-07-15,Boston Red Sox,4,10,Chicago Cubs,Chicago Cubs,Boston Red Sox,10,4,10-4
717404,2023-07-15,Arizona Diamondbacks,2,5,Toronto Blue Jays,Toronto Blue Jays,Arizona Diamondbacks,5,2,5-2
717402,2023-07-15,Cleveland Guardians,0,2,Texas Rangers,Texas Rangers,Cleveland Guardians,2,0,2-0
717398,2023-07-15,San Francisco Giants,3,1,Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,3,1,3-1
717401,2023-07-15,Miami Marlins,5,6,Baltimore Orioles,Baltimore Orioles,Miami Marlins,6,5,6-5
717399,2023-07-15,Minnesota Twins,10,7,Oakland Athletics,Minnesota Twins,Oakland Athletics,10,7,10-7
717392,2023-07-15,Milwaukee Brewers,3,0,Cincinnati Reds,Milwaukee Brewers,Cincinnati Reds,3,0,3-0
717400,2023-07-15,Los Angeles Dodgers,5,1,New York Mets,Los Angeles Dodgers,New York Mets,5,1,5-1
717396,2023-07-15,Washington Nationals,6,9,St. Louis Cardinals,St. Louis Cardinals,Washington Nationals,9,6,9-6
717395,2023-07-15,Chicago White Sox,6,5,Atlanta Braves,Chicago White Sox,Atlanta Braves,6,5,6-5
717394,2023-07-15,New York Yankees,6,3,Colorado Rockies,New York Yankees,Colorado Rockies,6,3,6-3
717389,2023-07-15,Houston Astros,12,13,Los Angeles Angels,Los Angeles Angels,Houston Astros,13,12,13-12
717390,2023-07-15,Detroit Tigers,6,0,Seattle Mariners,Detroit Tigers,Seattle Mariners,6,0,6-0
717388,2023-07-16,San Francisco Giants,8,4,Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,8,4,8-4
717387,2023-07-16,San Diego Padres,6,7,Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,7,6,7-6
717391,2023-07-16,Chicago White Sox,8,1,Atlanta Braves,Chicago White Sox,Atlanta Braves,8,1,8-1
717384,2023-07-16,Miami Marlins,4,5,Baltimore Orioles,Baltimore Orioles,Miami Marlins,5,4,5-4
717386,2023-07-16,Arizona Diamondbacks,5,7,Toronto Blue Jays,Toronto Blue Jays,Arizona Diamondbacks,7,5,7-5
717383,2023-07-16,Milwaukee Brewers,4,3,Cincinnati Reds,Milwaukee Brewers,Cincinnati Reds,4,3,4-3
717382,2023-07-16,Tampa Bay Rays,4,8,Kansas City Royals,Kansas City Royals,Tampa Bay Rays,8,4,8-4
717380,2023-07-16,Washington Nationals,4,8,St. Louis Cardinals,St. Louis Cardinals,Washington Nationals,8,4,8-4
717376,2023-07-16,Boston Red Sox,11,5,Chicago Cubs,Boston Red Sox,Chicago Cubs,11,5,11-5
717377,2023-07-16,Cleveland Guardians,5,6,Texas Rangers,Texas Rangers,Cleveland Guardians,6,5,6-5
717378,2023-07-16,New York Yankees,7,8,Colorado Rockies,Colorado Rockies,New York Yankees,8,7,8-7
717379,2023-07-16,Minnesota Twins,5,4,Oakland Athletics,Minnesota Twins,Oakland Athletics,5,4,5-4
717373,2023-07-16,Detroit Tigers,0,2,Seattle Mariners,Seattle Mariners,Detroit Tigers,2,0,2-0
717385,2023-07-16,Los Angeles Dodgers,1,2,New York Mets,New York Mets,Los Angeles Dodgers,2,1,2-1
717381,2023-07-16,Houston Astros,9,8,Los Angeles Angels,Houston Astros,Los Angeles Angels,9,8,9-8
717372,2023-07-17,Los Angeles Dodgers,6,4,Baltimore Orioles,Los Angeles Dodgers,Baltimore Orioles,6,4,6-4
717371,2023-07-17,Cleveland Guardians,11,0,Pittsburgh Pirates,Cleveland Guardians,Pittsburgh Pirates,11,0,11-0
717375,2023-07-17,San Francisco Giants,4,2,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,4,2,4-2
717374,2023-07-17,Miami Marlins,4,6,St. Louis Cardinals,St. Louis Cardinals,Miami Marlins,6,4,6-4
717370,2023-07-17,Washington Nationals,7,5,Chicago Cubs,Washington Nationals,Chicago Cubs,7,5,7-5
717367,2023-07-17,Tampa Bay Rays,2,3,Texas Rangers,Texas Rangers,Tampa Bay Rays,3,2,3-2
717368,2023-07-17,Detroit Tigers,3,2,Kansas City Royals,Detroit Tigers,Kansas City Royals,3,2,3-2
717369,2023-07-17,New York Yankees,3,4,Los Angeles Angels,Los Angeles Angels,New York Yankees,4,3,4-3
717366,2023-07-17,Boston Red Sox,7,0,Oakland Athletics,Boston Red Sox,Oakland Athletics,7,0,7-0
717365,2023-07-17,Minnesota Twins,6,7,Seattle Mariners,Seattle Mariners,Minnesota Twins,7,6,7-6
717375,2023-07-17,San Francisco Giants,4,2,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,4,2,4-2
717363,2023-07-18,Milwaukee Brewers,3,4,Philadelphia Phillies,Philadelphia Phillies,Milwaukee Brewers,4,3,4-3
717361,2023-07-18,Los Angeles Dodgers,10,3,Baltimore Orioles,Los Angeles Dodgers,Baltimore Orioles,10,3,10-3
717364,2023-07-18,Cleveland Guardians,10,1,Pittsburgh Pirates,Cleveland Guardians,Pittsburgh Pirates,10,1,10-1
717362,2023-07-18,San Diego Padres,9,1,Toronto Blue Jays,San Diego Padres,Toronto Blue Jays,9,1,9-1
717360,2023-07-18,San Francisco Giants,11,10,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,11,10,11-10
717359,2023-07-18,Chicago White Sox,10,11,New York Mets,New York Mets,Chicago White Sox,11,10,11-10
717358,2023-07-18,Arizona Diamondbacks,16,13,Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,16,13,16-13
717357,2023-07-18,Miami Marlins,2,5,St. Louis Cardinals,St. Louis Cardinals,Miami Marlins,5,2,5-2
717353,2023-07-18,Washington Nationals,3,17,Chicago Cubs,Chicago Cubs,Washington Nationals,17,3,17-3
717354,2023-07-18,Tampa Bay Rays,3,5,Texas Rangers,Texas Rangers,Tampa Bay Rays,5,3,5-3
717356,2023-07-18,Detroit Tigers,10,11,Kansas City Royals,Kansas City Royals,Detroit Tigers,11,10,11-10
717355,2023-07-18,Houston Astros,3,4,Colorado Rockies,Colorado Rockies,Houston Astros,4,3,4-3
717352,2023-07-18,New York Yankees,1,5,Los Angeles Angels,Los Angeles Angels,New York Yankees,5,1,5-1
717349,2023-07-18,Boston Red Sox,0,3,Oakland Athletics,Oakland Athletics,Boston Red Sox,3,0,3-0
717350,2023-07-18,Minnesota Twins,10,3,Seattle Mariners,Minnesota Twins,Seattle Mariners,10,3,10-3
717348,2023-07-19,Cleveland Guardians,5,7,Pittsburgh Pirates,Pittsburgh Pirates,Cleveland Guardians,7,5,7-5
717343,2023-07-19,Los Angeles Dodgers,5,8,Baltimore Orioles,Baltimore Orioles,Los Angeles Dodgers,8,5,8-5
717346,2023-07-19,Tampa Bay Rays,1,5,Texas Rangers,Texas Rangers,Tampa Bay Rays,5,1,5-1
717351,2023-07-19,Miami Marlins,4,6,St. Louis Cardinals,St. Louis Cardinals,Miami Marlins,6,4,6-4
717345,2023-07-19,Houston Astros,4,1,Colorado Rockies,Houston Astros,Colorado Rockies,4,1,4-1
717344,2023-07-19,Boston Red Sox,5,6,Oakland Athletics,Oakland Athletics,Boston Red Sox,6,5,6-5
717347,2023-07-19,Milwaukee Brewers,5,3,Philadelphia Phillies,Milwaukee Brewers,Philadelphia Phillies,5,3,5-3
717338,2023-07-19,San Diego Padres,2,0,Toronto Blue Jays,San Diego Padres,Toronto Blue Jays,2,0,2-0
717339,2023-07-19,New York Yankees,3,7,Los Angeles Angels,Los Angeles Angels,New York Yankees,7,3,7-3
